C001,Matemáticas Básicas,Curso introductorio de álgebra,5
C002,Programación I,Fundamentos de Java,4
C003,Física General,Conceptos básicos de mecánica,4
C004,Química I,Principios de química inorgánica,3
C005,Historia Universal,Historia antigua y moderna,2
C006,Literatura,Introducción a la literatura clásica,3
C007,Estadística,Probabilidad y estadística aplicada,4
C008,Programación II,Estructuras de datos en Java,5
C009,Contabilidad,Fundamentos de contabilidad general,3
C010,Inglés I,Curso básico de inglés,2
